K001   10           145406                020260804                                                                     
K001R4016LLAALBPBZ9904      6679                 1012026080120260731  7292520514303                                     
K001R4016LLAALBPBZ9904      3041                 1022026080320260730  7292524514303                                     
K001R4016LLAALBPBZ9904       324                 1022026080320260730  7292524514303                                     
K001R4016LLAALBPBZ9904       470                 1032026080320260710  2236993504537                                     
K001R4016LLAALBABZ9901     12859      2572       1042026080320260714  I715944505714                                     
K001R4016LLAALBPBZ9904     32983                 1052026080320260728   540302518430                                     
K001R4016LLAALBABZ9901     27269      5454       1052026080320260728   540302518430                                     
K001R4016LLAALBABZ9901     18721      3744       1052026080320260728   540302518430                                     
K001R4016LLAALBROZ9904     24546                 1062026080420260801  7301642514303                                     
K001R4016LLAALBPBZ9904      6744                 1072026080420260714  2248631504537                                     
